File Name,k-eff_o,std_o,k-eff__m,std_m,k-eff_bench,std_bench,k_normalized,std_normalized,geometry,therm fiss,int fiss,fast fiss, above therm fiss, Avg E, Avg leth causing fiss
U233-SOL-THERM-016-006,0.99627,0.00016,0.996273,0.000162606,0.9993,0.0034,0.99696,0.003395,Cylinder,68.97,29.04,1.99,31.03,34467.0,0.28985
IEU-MET-FAST-014-002,0.99367,0.00007,0.993671,6.81148e-05,0.9927,0.0022,1.00097,0.002219,Cylinder,0.00,27.61,72.39,100.0,747070.0,259380.0
HEU-MET-FAST-078-009,0.99561,0.00010,0.995609,0.000103612,0.9997,0.0022,0.99590,0.002194,Cylinder,9.75,14.26,75.99,90.25,1204600.0,78067.0
HEU-MET-FAST-084-018,0.99741,0.00009,0.99741,8.7173e-05,0.9995,0.0022,0.99790,0.002198,Cylinder,0.00,5.64,94.36,100.0,1407700.0,782920.0
U233-SOL-INTER-001-032,0.97640,0.00016,0.976399,0.000161384,1,0.0053,0.9764,0.005177,Sphere,41.27,53.48,5.24,58.73,88480.0,2.8178
PU-SOL-THERM-004-006,1.00175,0.00011,1.00175,0.000111486,1,0.0047,1.00175,0.004709,Sphere,97.24,2.46,0.30,2.76,5730.1,0.053959
LEU-COMP-THERM-010-018,1.00242,0.00011,1.00242,0.000109796,1,0.0028,1.00242,0.002808,Lattice,82.82,11.00,6.18,17.18,173750.0,0.28014
LEU-COMP-THERM-011-009,0.99818,0.00010,0.99818,9.71818e-05,1.0009,0.0032,0.99728,0.003189,Lattice,85.94,7.91,6.15,14.06,181010.0,0.20267
HEU-SOL-THERM-038-021,0.99741,0.00014,0.997411,0.000139917,1,0.0025,0.99741,0.002497,Cylinder,76.39,21.25,2.36,23.61,40695.0,0.32315
LEU-COMP-THERM-007-003,0.99763,0.00010,0.997628,9.95273e-05,1,0.0007,0.99763,0.000705,Lattice,93.55,3.99,2.46,6.45,70965.0,0.072532
LEU-COMP-THERM-006-012,0.99973,0.00010,0.999728,0.000100946,1,0.002,0.99973,0.002002,Lattice,88.50,6.20,5.31,11.5,156000.0,0.14951
PU-SOL-THERM-022-008,1.00506,0.00011,1.00506,0.000105105,1,0.0023,1.00506,0.002314,Cylinder,96.86,2.80,0.35,3.14,6774.5,0.055741000000000006
